date,EPU_CAN,IP_CAN,INF_CAN,EX_CAN,IM_CAN,RECESS_CAN,GDP_CAN,GDPC_CAN,EXR_CAN,CCI_CAN,UNEMP_CAN,EPU_GER,IP_GER,INF_GER,UNEMP_GER,IM_GER,EX_GER,RECESS_GER,GDP_GER,GDPC_GER,EXR_GER,EPU_JAP,IP_JAP,INF_JAP,UNEMP_JAP,EX_JAP,RECESS_JAP,GDP_JAP,GDPC_JAP,IM_JAP,EXR_JAP,EPU_USA,IP_USA,YS_USA,INF_USA,UNEMP_USA,EX_USA,IM_USA,RECESS_USA,GDP_USA,GDPC_USA,CCI_USA,EPU_MEX,IP_MEX,INF_MEX,GDP_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,EPU_CHI,IP_CHI,INF_CHI,IM_CHI,EX_CHI,TB_CHI,RECESS_CHI,EXR_CHI,UNEMP_CHI,GDPC_CHI,GDP_CHI,CCI_CHI,CCI_GER,CCI_JAP,CCI_MEX,YS_CAN,YS_MEX,YS_JAP,YS_CHI,YS_GER
1996-01-01,212.95315,77.95707,1.57053112507138,96102.0,78016.0,1.0,317101.0,31740.0,1.366866666666667,98.0140727730231,9.62,76.96334,70.15491166666666,1.44972701963239,,110080.765055339,117630600000.0,1.0,5406.108,31831.0,1.50477416666667,156.08027,104.7758,0.136600358575909,3.491667,-17458.5,0.0,472703.4,32083.0,57805.1,105.75142857142858,115.5,72.5712,0.54,2.93120419993441,5.6,983.934,1044.193,0.0,11614.418,43259.0,89.3,0.2981959,67.000552976143,34.3783832235168,3535.41075,7.59945,6.2,8320.65295694833,577824.5,701630.375,0.0,128.42946,,8.31316028893909,1202549.64847135,1783134.94478656,-0.634864324680277,1.0,8.3147,3.12,709.415888233368,2013.13830968444,102.0449,98.47928,100.9028,,,,2.206,,
1996-02-01,107.99321,77.93741,,,,1.0,,,1.37522,98.4005630247697,,123.00718,,,,,,1.0,,,,102.03532,,,,,0.0,,,,105.788,90.44,73.6207,0.78,,5.5,,,0.0,,,88.5,,66.232581585993,,,,6.1,,,,0.0,111.15819,,,,,,1.0,8.3207,,,,102.1505,98.26254,100.9945,,,,2.0250000000000004,,
1996-03-01,202.92086,77.44552,,,,1.0,,,1.3656,98.5148906631705,,136.39913,,,,,,0.0,,,,100.89508,,,,,0.0,,,,105.93999999999998,81.63,73.5141,0.61,,5.5,,,0.0,,,93.7,,67.7386644520221,,,,5.8,,,,0.0,69.44067,,,,,,1.0,8.3339,,,,102.1829,98.26872,101.0712,,,,2.293,,
1996-04-01,118.0784,77.83874,,99831.5,77894.3,1.0,319358.5,,1.3591863636363637,98.4800823285221,,69.27929,,,,110823.20216443,118198500000.0,0.0,5481.446,,,126.0316,,,,,0.0,,,59559.6,107.19954545454544,64.9,74.2491,0.55,,5.6,999.928,1067.562,0.0,11808.14,43856.0,92.7,0.28931,66.8266677136729,,3572.89925,,5.8,,603437.5,722651.1875,0.0,63.35744,,,,,0.897341987724621,1.0,8.3306,,,,102.154,98.26736,101.1067,,,,2.008,,
1996-05-01,122.1422,78.23233,,,,1.0,,,1.36925,98.4789745260711,,127.69843,,,,,,0.0,,,,71.03469,,,,,0.0,,,,106.34227272727274,74.13,74.8142,0.64,,5.6,,,0.0,,,89.4,,68.2136060002934,,,,5.4,,,,0.0,84.17336,,,,,,1.0,8.3263,,,,102.0997,98.23156,101.0749,,,,2.38,,
1996-06-01,118.05817,78.42421,,,,1.0,,,1.3658,98.5971601589489,,104.2719,,,,,,0.0,,,,116.35827,,,,,0.0,,,,108.96,73.29,75.3726,0.62,,5.3,,,0.0,,,92.4,,69.3557366269155,,,,5.6,,,,0.0,36.83881,,,,,,1.0,8.3221,,,,102.0393,98.22374,101.0054,,,,2.133,,
1996-07-01,103.0493,79.22122,,101912.8,80902.8,1.0,322040.8,,1.369731818181818,98.8240963306227,,100.25532,,,,111594.204336208,121251100000.0,0.0,5500.464,,,66.84104,,,,,0.0,,,59495.7,109.19090909090907,65.25,75.3738,0.6,,5.5,1008.015,1102.174,0.0,11914.063,44105.0,94.7,0.2813137,69.1566380074466,,3625.53225,,5.4,,639511.0,748441.125,0.0,47.68481,,,,,2.58842792160603,1.0,8.3109,,,,101.9954,98.27735,100.9234,,,,2.043,,
1996-08-01,125.92288,79.49174000000001,,,,1.0,,,1.3722409090909091,98.9349187120177,,53.11516,,,,,,0.0,,,,72.93111,,,,,0.0,,,,107.8659090909091,71.99,75.7557,0.61,,5.1,,,0.0,,,95.3,,69.1562397792278,,,,5.3,,,,0.0,55.95354,,,,,,1.0,8.3063,,,,101.9497,98.38542,100.8287,,,,2.4290000000000003,,
1996-09-01,97.34151,79.47208,,,,0.0,,,1.369385,98.9013751266784,,81.1397,,,,,,0.0,,,,104.41288,,,,,0.0,,,,109.931,70.33,76.2302,0.6,,5.2,,,0.0,,,94.7,,69.3473911655637,,,,5.4,,,,0.0,51.04103,,,,,,1.0,8.3017,,,,101.9226,98.42767,100.6853,,,,2.088,,
1996-10-01,184.98788,79.22122,,99190.3,82643.5,0.0,324592.3,,1.3508363636363636,98.7810031693736,,80.00975,,,,115877.495350192,126646300000.0,0.0,5550.201999999999,,,110.41019,,,,,0.0,,,60255.7,112.41227272727274,70.33,76.2157,0.62,,5.2,1070.864,1123.911,0.0,12037.775,44421.0,96.5,0.1429184,70.6130986018945,,3740.4615,,5.0,,683547.6875,774137.125,0.0,53.61976,,,,,2.46489696442105,1.0,8.3007,,,,101.8791,98.35143,100.4253,,,,2.213,,
