date,YS_GER
2005-07-01,1.067166
2005-08-01,1.062944
2005-08-01,1.067594
2005-08-01,1.100637
2005-08-01,1.08919
2005-08-01,1.104096
2005-08-01,1.09916
2005-08-01,1.081003
2005-08-01,1.068528
2005-08-01,1.079143
2005-08-01,1.08071
2005-08-01,1.084133
2005-08-01,1.085592
2005-08-01,1.071992
2005-08-01,1.065009
2005-08-01,1.051496
2005-08-01,1.053087
2005-08-01,1.013965
2005-08-01,1.002093
2005-08-01,0.994811
2005-08-01,0.978602
2005-08-01,0.97182
2005-08-01,0.966503
2005-08-01,0.951991
2005-09-01,0.97371
2005-09-01,0.980329
2005-09-01,0.978365
2005-09-01,0.97568
2005-09-01,0.978094
2005-09-01,0.96834
2005-09-01,0.936374
2005-09-01,0.956125
2005-09-01,0.948121
2005-09-01,0.921589
2005-09-01,0.920807
2005-09-01,0.931252
2005-09-01,0.926751
2005-09-01,0.904645
2005-09-01,0.877316
2005-09-01,0.885338
2005-09-01,0.861569
2005-09-01,0.883435
2005-09-01,0.876205
2005-09-01,0.866074
2005-09-01,0.834003
2005-09-01,0.825542
2005-10-01,0.854566
2005-10-01,0.838206
2005-10-01,0.831999
2005-10-01,0.834448
2005-10-01,0.807373
2005-10-01,0.780927
2005-10-01,0.778224
2005-10-01,0.802704
2005-10-01,0.854632
2005-10-01,0.861884
2005-10-01,0.840178
2005-10-01,0.844465
2005-10-01,0.858932
2005-10-01,0.830011
2005-10-01,0.794924
2005-10-01,0.799761
2005-10-01,0.810061
2005-10-01,0.827102
2005-10-01,0.830147
2005-10-01,0.813818
2005-10-01,0.813901
2005-11-01,0.793701
2005-11-01,0.811583
2005-11-01,0.820012
2005-11-01,0.840158
2005-11-01,0.803918
2005-11-01,0.794248
2005-11-01,0.784104
2005-11-01,0.809959
2005-11-01,0.804302
2005-11-01,0.804131
2005-11-01,0.824497
2005-11-01,0.794849
2005-11-01,0.77953
2005-11-01,0.723933
2005-11-01,0.726347
2005-11-01,0.733169
2005-11-01,0.732202
2005-11-01,0.700882
2005-11-01,0.71924
2005-11-01,0.692173
2005-11-01,0.693483
2005-11-01,0.694532
2005-12-01,0.706019
2005-12-01,0.728495
2005-12-01,0.72635
2005-12-01,0.696396
2005-12-01,0.684667
2005-12-01,0.680089
2005-12-01,0.668625
2005-12-01,0.652001
2005-12-01,0.619957
2005-12-01,0.59158
2005-12-01,0.584249
2005-12-01,0.562268
2005-12-01,0.557803
2005-12-01,0.554032
2005-12-01,0.541727
2005-12-01,0.525296
2005-12-01,0.527118
2005-12-01,0.489789
2005-12-01,0.47064
2005-12-01,0.476497
2005-12-01,0.400201
2006-01-01,0.526497
2006-01-01,0.536231
2006-01-01,0.544066
2006-01-01,0.538148
2006-01-01,0.5317
2006-01-01,0.49923
2006-01-01,0.478166
2006-01-01,0.461416
2006-01-01,0.470285
2006-01-01,0.463347
2006-01-01,0.475663
2006-01-01,0.484437
2006-01-01,0.464916
2006-01-01,0.489797
2006-01-01,0.488371
2006-01-01,0.512251
2006-01-01,0.513824
2006-01-01,0.524124
2006-01-01,0.567198
2006-01-01,0.567421
2006-01-01,0.540363
2006-01-01,0.53755
2006-02-01,0.547101
2006-02-01,0.564659
2006-02-01,0.561559
2006-02-01,0.53961
2006-02-01,0.561613
2006-02-01,0.586092
2006-02-01,0.584022
2006-02-01,0.5524
2006-02-01,0.570567
2006-02-01,0.583876
2006-02-01,0.622498
2006-02-01,0.584288
2006-02-01,0.574078
2006-02-01,0.563196
2006-02-01,0.548833
2006-02-01,0.509729
2006-02-01,0.49454
2006-02-01,0.505703
2006-02-01,0.495536
2006-02-01,0.475749
2006-03-01,0.459194
2006-03-01,0.489711
2006-03-01,0.485701
2006-03-01,0.482676
2006-03-01,0.488744
2006-03-01,0.510848
2006-03-01,0.529344
2006-03-01,0.553674
2006-03-01,0.540707
2006-03-01,0.527289
2006-03-01,0.504876
2006-03-01,0.494904
2006-03-01,0.483915
2006-03-01,0.483482
2006-03-01,0.488388
2006-03-01,0.468898
2006-03-01,0.486849
2006-03-01,0.491505
2006-03-01,0.489643
2006-03-01,0.488005
2006-03-01,0.495296
2006-03-01,0.499584
2006-03-01,0.503672
2006-04-01,0.52215
2006-04-01,0.5339
2006-04-01,0.556606
2006-04-01,0.619998
2006-04-01,0.676024
2006-04-01,0.642911
2006-04-01,0.615708
2006-04-01,0.613237
2006-04-01,0.651829
2006-04-01,0.654566
2006-04-01,0.659174
2006-04-01,0.657106
2006-04-01,0.658073
2006-04-01,0.660855
2006-04-01,0.680514
2006-04-01,0.648318
2006-04-01,0.629651
2006-04-01,0.589642
2006-05-01,0.602699
2006-05-01,0.628383
2006-05-01,0.627879
2006-05-01,0.617587
2006-05-01,0.613478
2006-05-01,0.608374
2006-05-01,0.608012
2006-05-01,0.63545
2006-05-01,0.654279
2006-05-01,0.705956
2006-05-01,0.68891
2006-05-01,0.710179
2006-05-01,0.702266
2006-05-01,0.675456
2006-05-01,0.651538
2006-05-01,0.641456
2006-05-01,0.616355
2006-05-01,0.606302
2006-05-01,0.600795
2006-05-01,0.598864
2006-05-01,0.5991
2006-05-01,0.593355
2006-06-01,0.592409
2006-06-01,0.557765
2006-06-01,0.54157
2006-06-01,0.559128
2006-06-01,0.56645
2006-06-01,0.583938
2006-06-01,0.582429
2006-06-01,0.579627
2006-06-01,0.573427
2006-06-01,0.546437
2006-06-01,0.563349
2006-06-01,0.563841
2006-06-01,0.550571
2006-06-01,0.538679
2006-06-01,0.544556
2006-06-01,0.553527
2006-06-01,0.564575
2006-06-01,0.546702
2006-06-01,0.516825
2006-06-01,0.520483
2006-06-01,0.515454
2006-06-01,0.508704
2006-07-01,0.507787
2006-07-01,0.509755
2006-07-01,0.524639
2006-07-01,0.498231
2006-07-01,0.474808
2006-07-01,0.470387
2006-07-01,0.474264
2006-07-01,0.474099
2006-07-01,0.478495
2006-07-01,0.477738
2006-07-01,0.472905
2006-07-01,0.460053
2006-07-01,0.446835
2006-07-01,0.437128
2006-07-01,0.439194
2006-07-01,0.432595
2006-07-01,0.438111
2006-07-01,0.435647
2006-07-01,0.424311
2006-07-01,0.420655
2006-07-01,0.414447
2006-08-01,0.435048
2006-08-01,0.426909
2006-08-01,0.409115
2006-08-01,0.370073
2006-08-01,0.379396
2006-08-01,0.375474
2006-08-01,0.379614
2006-08-01,0.385892
2006-08-01,0.370899
2006-08-01,0.372313
2006-08-01,0.360285
2006-08-01,0.334811
2006-08-01,0.306841
2006-08-01,0.29352
2006-08-01,0.277575
2006-08-01,0.310359
2006-08-01,0.288526
2006-08-01,0.327691
2006-08-01,0.334406
2006-08-01,0.338275
2006-08-01,0.326074
2006-08-01,0.301483
2006-08-01,0.242089
2006-09-01,0.251808
2006-09-01,0.241131
2006-09-01,0.243618
2006-09-01,0.257408
2006-09-01,0.246656
2006-09-01,0.198737
