date,Spread
2001-07-01,-1.92
2001-10-01,-1.75
2001-12-01,0.1999999999999993
2002-01-01,0.8800000000000008
2002-02-01,0.8200000000000003
2002-03-01,1.700000000000001
2002-04-01,2.51
2002-05-01,1.4699999999999989
2002-06-01,1.83
2002-07-01,1.3800000000000008
2002-08-01,1.67
2002-09-01,1.7100000000000009
2002-10-01,1.5
2002-11-01,1.790000000000001
2002-12-01,1.709999999999999
2003-01-01,0.27999999999999936
2003-02-01,0.9000000000000004
2003-03-01,1.4600000000000009
2003-04-01,1.1999999999999993
2003-05-01,1.8900000000000006
2003-06-01,1.5600000000000005
2003-07-01,2.1500000000000004
2003-08-01,2.250000000000001
2003-09-01,2.0599999999999996
2003-10-01,2.3200000000000003
2003-11-01,1.9299999999999997
2003-12-01,1.37
2004-01-01,2.5600000000000005
2004-02-01,2.120000000000001
2004-03-01,1.9399999999999995
2004-04-01,2.74
2004-05-01,2.0199999999999996
2004-06-01,2.0700000000000003
2004-07-01,1.5299999999999994
2004-08-01,1.4799999999999986
2004-09-01,1.709999999999999
2004-10-01,0.9900000000000002
2004-11-01,1.2699999999999996
2004-12-01,1.1100000000000012
2005-01-01,1.4100000000000001
2005-02-01,0.379999999999999
2005-03-01,0.379999999999999
2005-04-01,0.10999999999999943
2005-05-01,-0.33999999999999986
2005-06-01,-0.15000000000000036
2005-07-01,-0.22000000000000064
2005-08-01,-0.23000000000000043
2005-09-01,-0.4399999999999995
2005-10-01,0.03999999999999915
2005-11-01,0.17999999999999972
2005-12-01,0.5299999999999994
2006-01-01,0.5499999999999998
2006-02-01,0.6900000000000013
2006-03-01,0.6799999999999997
2006-04-01,0.8600000000000003
2006-05-01,1.37
2006-06-01,2.170000000000001
2006-07-01,1.1799999999999997
2006-08-01,0.5999999999999996
2006-09-01,0.7000000000000002
2006-10-01,0.9000000000000004
2006-11-01,0.5999999999999996
2006-12-01,0.29000000000000004
2007-01-01,-0.03000000000000025
2007-02-01,0.5800000000000001
2007-03-01,0.3000000000000007
2007-04-01,0.2400000000000002
2007-05-01,0.10000000000000053
2007-06-01,-0.020000000000000462
2007-07-01,0.11000000000000032
2007-08-01,0.27000000000000046
2007-09-01,0.17999999999999972
2007-11-01,0.04999999999999982
2007-12-01,0.2400000000000002
2008-01-01,-0.16999999999999993
2008-03-01,0.03000000000000025
2008-04-01,0.1200000000000001
2008-06-01,0.3600000000000003
2008-07-01,0.6099999999999994
2008-08-01,-0.16999999999999993
2008-10-01,0.13000000000000078
2008-11-01,1.3100000000000005
2008-12-01,-0.08000000000000007
2009-02-01,1.08
2009-03-01,0.2699999999999996
2009-05-01,2.1399999999999997
2009-06-01,3.0200000000000005
2009-07-01,2.9699999999999998
2009-09-01,2.6399999999999997
2009-10-01,2.660000000000001
2009-12-01,2.7399999999999993
2010-02-01,2.66
2010-04-01,2.45
2010-05-01,2.5300000000000002
2010-07-01,2.08
2010-08-01,1.71
2010-09-01,1.5099999999999998
2010-11-01,1.6100000000000003
2010-12-01,2.3
2011-04-01,2.3500000000000005
2011-06-01,2.2
2011-07-01,2.25
2011-08-01,1.2600000000000007
2011-10-01,2.4499999999999993
2011-11-01,1.9100000000000001
2011-12-01,1.8899999999999997
2012-05-01,1.6099999999999994
2012-06-01,1.33
2012-07-01,0.54
2012-09-01,0.8500000000000005
2012-10-01,0.71
2012-11-01,0.7599999999999998
2013-01-01,0.8799999999999999
2013-02-01,0.71
2013-04-01,0.8899999999999997
2013-05-01,0.6599999999999997
2013-06-01,2.12
2013-08-01,1.9299999999999997
2013-09-01,2.42
2013-10-01,2.44
2013-12-01,2.69
2014-01-01,2.8
2014-03-01,2.64
2014-04-01,2.49
2014-05-01,2.2600000000000002
2014-07-01,2.6600000000000006
2014-08-01,2.6400000000000006
2014-10-01,2.91
2014-11-01,2.8100000000000005
2014-12-01,2.68
2015-02-01,2.0999999999999996
2015-03-01,2.5100000000000002
2015-04-01,2.33
2015-06-01,2.71
2015-07-01,2.4400000000000004
2015-09-01,2.35
2015-11-01,2.4799999999999995
2016-01-01,2.6500000000000004
2016-02-01,2.5400000000000005
2016-03-01,1.92
2016-05-01,1.4400000000000004
2016-06-01,1.6100000000000003
2016-08-01,1.25
2016-09-01,1.12
2016-10-01,0.8599999999999994
2016-12-01,1.04
2017-01-01,0.9199999999999999
2017-03-01,0.4800000000000004
2017-04-01,0.25
2017-05-01,0.07000000000000028
2017-07-01,-0.3700000000000001
2017-08-01,-0.33000000000000007
2017-09-01,-0.41000000000000014
2017-11-01,-0.09999999999999964
2017-12-01,0.20000000000000018
2018-02-01,-0.0600000000000005
2018-03-01,-0.3200000000000003
2018-04-01,-0.1900000000000004
2018-06-01,-0.23999999999999932
2018-07-01,-0.4399999999999995
2018-08-01,-0.34999999999999964
2018-10-01,-0.0600000000000005
2018-11-01,0.6199999999999992
2019-01-01,0.1700000000000017
2019-02-01,0.2900000000000009
2019-03-01,-0.0600000000000005
2019-05-01,-0.07000000000000028
2019-06-01,-0.4800000000000004
2019-08-01,-0.25
2019-09-01,-0.33000000000000007
2019-10-01,-0.3099999999999996
2019-12-01,-0.040000000000000036
2020-01-01,-0.23000000000000043
2020-02-01,-0.20999999999999996
2020-04-01,1.5700000000000003
2020-05-01,1.0299999999999994
2020-07-01,1.1999999999999993
2020-08-01,1.2899999999999991
2020-09-01,1.2299999999999995
2020-11-01,1.71
2020-12-01,1.3499999999999996
2021-01-01,1.3900000000000006
2021-03-01,1.9100000000000001
2021-04-01,2.04
2021-06-01,1.7400000000000002
2021-07-01,1.4400000000000004
