date,US_Spread,Canada_Spread,Germany_Spread,Mexico_Spread,Japan_Spread
1990-01-31,0.1236363636363631,,-3.1378000000000004,,
1990-02-28,0.10049999999999848,,-2.272830000000001,,
1990-03-31,-0.03818181818181898,,-2.4884000000000004,,
1990-04-30,0.059545454545455456,,-2.3616909090909104,,
1990-05-31,0.11782608695652108,,-2.2101478260869563,,-0.06300000000000061
1990-06-30,0.1290476190476184,,-1.968300000000001,,-0.5019999999999998
1990-07-31,0.30391304347825887,,-2.246460869565219,,-0.20800000000000107
1990-08-31,0.6913043478260885,,-1.6023608695652172,,0.04900000000000038
1990-09-30,0.8114285714285714,,-1.7997999999999994,,-0.4190000000000005
1990-10-31,0.8417391304347808,,-1.8348956521739126,,0.1999999999999993
1990-11-30,0.793181818181818,,-1.9169363636363652,,-0.04000000000000181
1990-12-31,0.7636363636363646,,-2.0113363636363637,,-0.5700000000000003
1991-01-31,0.9617391304347827,,-2.0984782608695642,,-0.4579999999999993
1991-02-28,0.9865000000000013,,-2.587580000000001,,-0.2909999999999995
1991-03-31,1.0080952380952377,,-2.2189999999999994,,-0.20899999999999874
1991-04-30,1.09090909090909,,-2.2703909090909082,,-0.27000000000000046
1991-05-31,1.2895652173913046,,-1.8346782608695662,,-0.09300000000000086
1991-06-30,1.3304761904761904,,-1.6588999999999992,,-0.2450000000000001
1991-07-31,1.3521739130434778,,-1.445347826086957,,-0.009999999999999787
1991-08-31,1.4668181818181818,,-1.8097000000000012,,0.07500000000000107
1991-09-30,1.4677272727272728,,-1.8686500000000006,,0.351
1991-10-31,1.6134782608695666,,-1.845147826086956,,0.36299999999999955
1991-11-30,1.86095238095238,,-1.790700000000001,,0.4460000000000006
1991-12-31,2.0591304347826096,,-1.9021347826086963,,0.6939999999999991
1992-01-31,2.0682608695652167,,-2.3497521739130427,,0.9319999999999995
1992-02-29,2.129999999999999,,-2.0703999999999994,,0.9989999999999997
1992-03-31,1.863478260869564,,-1.9649130434782602,,0.9750000000000005
1992-04-30,2.134999999999999,,-2.0046454545454537,,1.186
1992-05-31,2.1638095238095234,,-2.0265000000000004,,4.324
1992-06-30,2.213636363636364,,-2.045077272727271,,1.2669999999999995
1992-07-31,2.484347826086956,,-2.2354391304347825,,1.4410000000000003
1992-08-31,2.3886363636363646,,-2.664272727272728,,1.411
1992-09-30,2.520454545454546,,-3.2355909090909076,,1.3009999999999997
1992-10-31,2.506818181818181,,-3.515200000000001,,1.536
1992-11-30,2.296818181818181,,-3.5479772727272723,,1.3049999999999997
1992-12-31,2.096086956521739,,-2.3391608695652177,,3.6049999999999995
1993-01-31,2.2104761904761903,,-2.6446000000000005,,1.391
1993-02-28,2.1599999999999993,,-2.8721000000000014,,1.4229999999999996
1993-03-31,2.0256521739130435,,-3.09548695652174,,0.8620000000000005
1993-04-30,2.131363636363637,,-2.0824454545454536,,1.291
1993-05-31,2.0595454545454537,,-1.857236363636365,,1.5130000000000003
1993-06-30,1.7990909090909097,,-1.4631727272727257,,1.81
1993-07-31,1.7377272727272732,,-1.3223999999999991,,1.6120000000000005
1993-08-31,1.677391304347827,,-1.5202521739130441,,1.6510000000000002
1993-09-30,1.5168181818181825,,-0.8822318181818183,,1.5
1993-10-31,1.4604761904761907,,-1.0185999999999984,,1.8679999999999999
1993-11-30,1.5718181818181813,,-1.0041772727272713,,2.083
1993-12-31,1.5608695652173914,,-0.7893086956521742,,1.8490000000000004
1994-01-31,1.6090909090909093,,-0.5238863636363629,,1.4380000000000002
1994-02-28,1.5,,0.12049999999999983,,1.6270000000000002
1994-03-31,1.4873913043478257,,-0.1363043478260879,,2.015
1994-04-30,1.421904761904762,,0.09700000000000042,,1.633
1994-05-31,1.2173913043478262,,0.14567391304347854,,1.6040000000000005
1994-06-30,1.169999999999999,,0.3501082251082215,,1.7390000000000003
1994-07-31,1.1671428571428581,,-0.06380952380952021,,1.9390000000000005
1994-08-31,1.0586956521739124,,0.10347826086955969,,1.7670000000000003
1994-09-30,1.0636363636363644,,-0.05318181818181422,,1.8790000000000004
1994-10-31,1.0163636363636357,,-0.202136363636364,,1.661
1994-11-30,0.8036363636363628,,-0.11811688311688329,,1.855
1994-12-31,0.21909090909090878,,-0.13904761904762086,,1.721
1995-01-31,0.2630434782608706,,-0.01191699604743146,,1.9200000000000004
1995-02-28,0.35799999999999965,,-0.3575000000000017,,2.0249999999999995
1995-03-31,0.4291304347826088,,-0.5252173913043423,,2.2810000000000006
1995-04-30,0.4914285714285711,,-0.5516666666666694,,1.9339999999999993
1995-05-31,0.4604347826086963,,-0.7484886128364403,,2.431
1995-06-30,0.45227272727272716,,-0.19654545454545325,,1.7890000000000004
1995-07-31,0.4909090909090912,,-0.30443722943723195,,1.8770000000000002
1995-08-31,0.5073913043478253,,-0.13043478260869446,,2.0679999999999996
1995-09-30,0.39380952380952383,,0.0052380952380985946,,2.3819999999999997
1995-10-31,0.34652173913043427,,-0.006501035196682992,,2.335
1995-11-30,0.4504545454545452,,-0.03227272727272901,,2.636
1995-12-31,0.38904761904762,,0.034736842105259846,,2.236
1996-01-31,0.5356521739130438,,-0.12055335968379222,,2.206
1996-02-29,0.7838095238095244,,0.8942857142857106,,2.025
1996-03-31,0.6076190476190471,,0.9352380952380992,,2.293
1996-04-30,0.5540909090909096,,0.8879090909090923,,2.008
1996-05-31,0.6408695652173915,,1.3946956521739136,,2.3799999999999994
1996-06-30,0.6133333333333333,,1.478947368421049,,2.133
1996-07-31,0.5947826086956507,,1.3934782608695633,,2.043
