date,China_EPU_Index,Industrial_Production,Inflation,Real_Imports,Real_Exports,Exports_Value,Imports_Value,Net_Trade_Value,Recession_Indicator,Real_GDP,Discount_Rate,Exchange_Rate_USD,Unemployment_Rate,GDP_Per_Capita
1967-04-01,,,,,,,,,,,,2.461799999,,
1967-05-01,,,,,,,,,,,,2.461799999,,
1967-06-01,,,,,,,,,,,,2.461799999,,
1967-07-01,,,,,,,,,,,,2.461799999,,
1967-08-01,,,,,,,,,,,,2.461799999,,
1967-09-01,,,,,,,,,,,,2.461799999,,
1967-10-01,,,,,,,,,,,,2.461799999,,
1967-11-01,,,,,,,,,,,,2.461799999,,
1967-12-01,,,,,,,,,,,,2.461799999,,
1968-01-01,,,,,,,,,,,,2.461799999,,91.4723838962347
1968-02-01,,,,,,,,,,,,2.461799999,,
1968-03-01,,,,,,,,,,,,2.461799999,,
1968-04-01,,,,,,,,,,,,2.461799999,,
1968-05-01,,,,,,,,,,,,2.461799999,,
1968-06-01,,,,,,,,,,,,2.461799999,,
1968-07-01,,,,,,,,,,,,2.461799999,,
1968-08-01,,,,,,,,,,,,2.461799999,,
1968-09-01,,,,,,,,,,,,2.461799999,,
1968-10-01,,,,,,,,,,,,2.461799999,,
1968-11-01,,,,,,,,,,,,2.461799999,,
1968-12-01,,,,,,,,,,,,2.461799999,,
1969-01-01,,,,,,,,,,,,2.461799999,,100.129537206454
1969-02-01,,,,,,,,,,,,2.461799999,,
1969-03-01,,,,,,,,,,,,2.461799999,,
1969-04-01,,,,,,,,,,,,2.461799999,,
1969-05-01,,,,,,,,,,,,2.461799999,,
1969-06-01,,,,,,,,,,,,2.461799999,,
1969-07-01,,,,,,,,,,,,2.461799999,,
1969-08-01,,,,,,,,,,,,2.461799999,,
1969-09-01,,,,,,,,,,,,2.461799999,,
1969-10-01,,,,,,,,,,,,2.461799999,,
1969-11-01,,,,,,,,,,,,2.461799999,,
1969-12-01,,,,,,,,,,,,2.461799999,,
1970-01-01,,,,,,,,,,,,2.461799999,,113.162577847967
1970-02-01,,,,,,,,,,,,2.461799999,,
1970-03-01,,,,,,,,,,,,2.461799999,,
1970-04-01,,,,,,,,,,,,2.461799999,,
1970-05-01,,,,,,,,,,,,2.461799999,,
1970-06-01,,,,,,,,,,,,2.461799999,,
1970-07-01,,,,,,,,,,,,2.461799999,,
1970-08-01,,,,,,,,,,,,2.461799999,,
1970-09-01,,,,,,,,,,,,2.461799999,,
1970-10-01,,,,,,,,,,,,2.461799999,,
1970-11-01,,,,,,,,,,,,2.461799999,,
1970-12-01,,,,,,,,,,,,2.461799999,,
1971-01-01,,,,,,,,,,,,2.461799999,,118.654144002222
1971-02-01,,,,,,,,,,,,2.461799999,,
1971-03-01,,,,,,,,,,,,2.461799999,,
1971-04-01,,,,,,,,,,,,2.461799999,,
1971-05-01,,,,,,,,,,,,2.461799999,,
1971-06-01,,,,,,,,,,,,2.461799999,,
1971-07-01,,,,,,,,,,,,2.461799999,,
1971-08-01,,,,,,,,,,,,2.461799999,,
1971-09-01,,,,,,,,,,,,2.461799999,,
1971-10-01,,,,,,,,,,,,2.461799999,,
1971-11-01,,,,,,,,,,,,2.461799999,,
1971-12-01,,,,,,,,,,,,2.461799999,,
1972-01-01,,,,,,,,,,,,2.267299999,,131.885558530844
1972-02-01,,,,,,,,,,,,2.267299999,,
1972-03-01,,,,,,,,,,,,2.267299999,,
1972-04-01,,,,,,,,,,,,2.267299999,,
1972-05-01,,,,,,,,,,,,2.267299999,,
1972-06-01,,,,,,,,,,,,2.267299999,,
1972-07-01,,,,,,,,,,,,2.217399999,,
1972-08-01,,,,,,,,,,,,2.217399999,,
1972-09-01,,,,,,,,,,,,2.217399999,,
1972-10-01,,,,,,,,,,,,2.217399999,,
1972-11-01,,,,,,,,,,,,2.240099999,,
1972-12-01,,,,,,,,,,,,2.240099999,,
1973-01-01,,,,,,,,,,,,2.240099999,,157.089110889702
1973-02-01,,,,,,,,,,,,2.217399999,,
1973-03-01,,,,,,,,,,,,2.003199999,,
1973-04-01,,,,,,,,,,,,2.006599999,,
1973-05-01,,,,,,,,,,,,1.961199999,,
1973-06-01,,,,,,,,,,,,1.899299999,,
1973-07-01,,,,,,,,,,,,1.873999999,,
1973-08-01,,,,,,,,,,,,1.9326,,
1973-09-01,,,,,,,,,,,,1.9133,,
1973-10-01,,,,,,,,,,,,1.9317,,
1973-11-01,,,,,,,,,,,,1.9979,,
1973-12-01,,,,,,,,,,,,2.020199999,,
1974-01-01,,,,,,,,,,,,2.040599999,,160.147687922555
1974-02-01,,,,,,,,,,,,2.008,,
1974-03-01,,,,,,,,,,,,1.952299999,,
1974-04-01,,,,,,,,,,,,1.901899999,,
1974-05-01,,,,,,,,,,,,1.941299999,,
1974-06-01,,,,,,,,,,,,1.954799999,,
1974-07-01,,,,,,,,,,,,1.946799999,,
1974-08-01,,,,,,,,,,,,2.001899999,,
1974-09-01,,,,,,,,,,,,1.952099999,,
1974-10-01,,,,,,,,,,,,1.965899999,,
1974-11-01,,,,,,,,,,,,1.897899999,,
1974-12-01,,,,,,,,,,,,1.839699999,,
1975-01-01,,,,,,,,,,,,1.795599999,,178.339614096146
1975-02-01,,,,,,,,,,,,1.747499999,,
1975-03-01,,,,,,,,,,,,1.770099999,,
1975-04-01,,,,,,,,,,,,1.791299999,,
1975-05-01,,,,,,,,,,,,1.7715,,
1975-06-01,,,,,,,,,,,,1.774999999,,
1975-07-01,,,,,,,,,,,,1.9357,,
1975-08-01,,,,,,,,,,,,1.945299999,,
1975-09-01,,,,,,,,,,,,1.9844,,
1975-10-01,,,,,,,,,,,,1.937099999,,
1975-11-01,,,,,,,,,,,,1.960399999,,
1975-12-01,,,,,,,,,,,,1.9663,,
1976-01-01,,,,,,,,,,,,1.9663,,165.404262395736
1976-02-01,,,,,,,,,,,,1.9467,,
1976-03-01,,,,,,,,,,,,1.9642,,
1976-04-01,,,,,,,,,,,,1.9642,,
1976-05-01,,,,,,,,,,,,1.974,,
1976-06-01,,,,,,,,,,,,1.9602,,
1976-07-01,,,,,,,,,,,,1.948499999,,
1976-08-01,,,,,,,,,,,,1.927199999,,
1976-09-01,,,,,,,,,,,,1.9118,,
1976-10-01,,,,,,,,,,,,1.901199999,,
1976-11-01,,,,,,,,,,,,1.8974,,
1976-12-01,,,,,,,,,,,,1.880299999,,
1977-01-01,,,,,,,,,,,,1.916299999,,185.420537363904
1977-02-01,,,,,,,,,,,,1.904899999,,
1977-03-01,,,,,,,,,,,,1.897299999,,
1977-04-01,,,,,,,,,,,,1.883999999,,
1977-05-01,,,,,,,,,,,,1.876499999,,
1977-06-01,,,,,,,,,,,,1.876499999,,
1977-07-01,,,,,,,,,,,,1.841099999,,
1977-08-01,,,,,,,,,,,,1.848499999,,
1977-09-01,,,,,,,,,,,,1.848499999,,
1977-10-01,,,,,,,,,,,,1.822699999,,
1977-11-01,,,,,,,,,,,,1.786299999,,
1977-12-01,,,,,,,,,,,,1.729999999,,
1978-01-01,,,,,,,,,1.0,,,1.6952,,156.396388520044
1978-02-01,,,,,,,,,1.0,,,1.651499999,,
1978-03-01,,,,,,,,,1.0,,,1.672899999,,
1978-04-01,,,,,,,,,1.0,,,1.7133,,
1978-05-01,,,,,,,,,1.0,,,1.733999999,,
1978-06-01,,,,,,,,,1.0,,,1.720199999,,
1978-07-01,,,,,,,,,1.0,,,1.7099,,
1978-08-01,,,,,,,,,1.0,,,1.696199999,,
1978-09-01,,,,,,,,,1.0,,,1.6894,,
1978-10-01,,,,,,,,,1.0,,,1.6002,,
1978-11-01,,,,,,,,,1.0,,,1.636799999,,
1978-12-01,,,,,,,,,1.0,,,1.577099999,,
1979-01-01,,,,,,,,,1.0,,,1.581699999,,183.983152215978
1979-02-01,,,,,,,,,0.0,,,1.569,,
1979-03-01,,,,,,,,,0.0,,,1.573699999,,
1979-04-01,,,,,,,,,0.0,,,1.587799999,,
1979-05-01,,,,,,,,,0.0,,,1.598899999,,
1979-06-01,,,,,,,,,0.0,,,1.5546,,
1979-07-01,,,,,,,,,0.0,,,1.543799999,,
1979-08-01,,,,,,,,,0.0,,,1.543799999,,
1979-09-01,,,,,,,,,0.0,,,1.514599999,,
1979-10-01,,,,,,,,,0.0,,,1.5328,,
1979-11-01,,,,,,,,,0.0,,,1.516,,
1979-12-01,,,,,,,,,0.0,,,1.496199999,,
1980-01-01,,,,,,,,,0.0,,,1.496199999,,194.804722186836
1980-02-01,,,,,,,,,1.0,,,1.5157,,
1980-03-01,,,,,,,,,1.0,,,1.5806,,
1980-04-01,,,,,,,,,1.0,,,1.5028,,
