date,country,variable,value
1932-04-01,CAN,EPU_CAN,
1932-05-01,CAN,EPU_CAN,
1932-06-01,CAN,EPU_CAN,
1932-07-01,CAN,EPU_CAN,
1932-08-01,CAN,EPU_CAN,
1932-09-01,CAN,EPU_CAN,
1932-10-01,CAN,EPU_CAN,
1932-11-01,CAN,EPU_CAN,
1932-12-01,CAN,EPU_CAN,
1933-01-01,CAN,EPU_CAN,
1933-02-01,CAN,EPU_CAN,
1933-03-01,CAN,EPU_CAN,
1933-04-01,CAN,EPU_CAN,
1933-05-01,CAN,EPU_CAN,
1933-06-01,CAN,EPU_CAN,
1933-07-01,CAN,EPU_CAN,
1933-08-01,CAN,EPU_CAN,
1933-09-01,CAN,EPU_CAN,
1933-10-01,CAN,EPU_CAN,
1933-11-01,CAN,EPU_CAN,
1933-12-01,CAN,EPU_CAN,
1934-01-01,CAN,EPU_CAN,
1934-02-01,CAN,EPU_CAN,
1934-03-01,CAN,EPU_CAN,
1934-04-01,CAN,EPU_CAN,
1934-05-01,CAN,EPU_CAN,
1934-06-01,CAN,EPU_CAN,
1934-07-01,CAN,EPU_CAN,
1934-08-01,CAN,EPU_CAN,
1934-09-01,CAN,EPU_CAN,
1934-10-01,CAN,EPU_CAN,
1934-11-01,CAN,EPU_CAN,
1934-12-01,CAN,EPU_CAN,
1935-01-01,CAN,EPU_CAN,
1935-02-01,CAN,EPU_CAN,
1935-03-01,CAN,EPU_CAN,
1935-04-01,CAN,EPU_CAN,
1935-05-01,CAN,EPU_CAN,
1935-06-01,CAN,EPU_CAN,
1935-07-01,CAN,EPU_CAN,
1935-08-01,CAN,EPU_CAN,
1935-09-01,CAN,EPU_CAN,
1935-10-01,CAN,EPU_CAN,
1935-11-01,CAN,EPU_CAN,
1935-12-01,CAN,EPU_CAN,
1936-01-01,CAN,EPU_CAN,
1936-02-01,CAN,EPU_CAN,
1936-03-01,CAN,EPU_CAN,
1936-04-01,CAN,EPU_CAN,
1936-05-01,CAN,EPU_CAN,
1936-06-01,CAN,EPU_CAN,
1936-07-01,CAN,EPU_CAN,
1936-08-01,CAN,EPU_CAN,
1936-09-01,CAN,EPU_CAN,
1936-10-01,CAN,EPU_CAN,
1936-11-01,CAN,EPU_CAN,
1936-12-01,CAN,EPU_CAN,
1937-01-01,CAN,EPU_CAN,
1937-02-01,CAN,EPU_CAN,
1937-03-01,CAN,EPU_CAN,
1937-04-01,CAN,EPU_CAN,
1937-05-01,CAN,EPU_CAN,
1937-06-01,CAN,EPU_CAN,
1937-07-01,CAN,EPU_CAN,
1937-08-01,CAN,EPU_CAN,
1937-09-01,CAN,EPU_CAN,
1937-10-01,CAN,EPU_CAN,
1937-11-01,CAN,EPU_CAN,
1937-12-01,CAN,EPU_CAN,
1938-01-01,CAN,EPU_CAN,
1938-02-01,CAN,EPU_CAN,
1938-03-01,CAN,EPU_CAN,
1938-04-01,CAN,EPU_CAN,
1938-05-01,CAN,EPU_CAN,
1938-06-01,CAN,EPU_CAN,
1938-07-01,CAN,EPU_CAN,
1938-08-01,CAN,EPU_CAN,
1938-09-01,CAN,EPU_CAN,
1938-10-01,CAN,EPU_CAN,
1938-11-01,CAN,EPU_CAN,
1938-12-01,CAN,EPU_CAN,
1939-01-01,CAN,EPU_CAN,
1939-02-01,CAN,EPU_CAN,
1939-03-01,CAN,EPU_CAN,
1939-04-01,CAN,EPU_CAN,
1939-05-01,CAN,EPU_CAN,
1939-06-01,CAN,EPU_CAN,
1939-07-01,CAN,EPU_CAN,
1939-08-01,CAN,EPU_CAN,
1939-09-01,CAN,EPU_CAN,
1939-10-01,CAN,EPU_CAN,
1939-11-01,CAN,EPU_CAN,
1939-12-01,CAN,EPU_CAN,
1940-01-01,CAN,EPU_CAN,
1940-02-01,CAN,EPU_CAN,
1940-03-01,CAN,EPU_CAN,
1940-04-01,CAN,EPU_CAN,
1940-05-01,CAN,EPU_CAN,
1940-06-01,CAN,EPU_CAN,
1940-07-01,CAN,EPU_CAN,
1940-08-01,CAN,EPU_CAN,
1940-09-01,CAN,EPU_CAN,
1940-10-01,CAN,EPU_CAN,
1940-11-01,CAN,EPU_CAN,
1940-12-01,CAN,EPU_CAN,
1941-01-01,CAN,EPU_CAN,
1941-02-01,CAN,EPU_CAN,
1941-03-01,CAN,EPU_CAN,
1941-04-01,CAN,EPU_CAN,
1941-05-01,CAN,EPU_CAN,
1941-06-01,CAN,EPU_CAN,
1941-07-01,CAN,EPU_CAN,
1941-08-01,CAN,EPU_CAN,
1941-09-01,CAN,EPU_CAN,
1941-10-01,CAN,EPU_CAN,
1941-11-01,CAN,EPU_CAN,
1941-12-01,CAN,EPU_CAN,
1942-01-01,CAN,EPU_CAN,
1942-02-01,CAN,EPU_CAN,
1942-03-01,CAN,EPU_CAN,
1942-04-01,CAN,EPU_CAN,
1942-05-01,CAN,EPU_CAN,
1942-06-01,CAN,EPU_CAN,
1942-07-01,CAN,EPU_CAN,
1942-08-01,CAN,EPU_CAN,
1942-09-01,CAN,EPU_CAN,
1942-10-01,CAN,EPU_CAN,
